#fix 2 all deform 200 z erate 0.0001 # strain rate = 0.0001/ps = 10^8/sec
fix 2 all deform 200 z erate 0.001 # strain rate = 0.001/ps = 10^9/sec
#dump 2 all cfg 20000 pos.*.cfg id type xs ys zs # Visualize with AtomEye
#dump 2 all cfg 2000 pos.*.cfg id type xs ys zs # Visualize with AtomEye
#dump 2 all xyz 50000 Au_*.xyz # Visualize with MDL
#dump_modify 2 element Au
#run 500000
run 800000
Memory usage per processor = 136.329 Mbytes
Step Atoms ThermoAv ThermoAv Lz Volume Pzz PotEng Xlat Ylat Zlat 
       0     8000            0            0    380.47084 9.7059934e+08  -0.05291875   -1.2216961         4.08    5.7699913    5.7699913 
     200     8000    440.11095   -1.2223034    380.85132 9.7587234e+08  0.092900095   -1.2221773         4.08    5.7699913    5.7699913 
     400     8000    438.63796   -1.2226742    381.23179 9.8141135e+08  -0.32155055    -1.223667         4.08    5.7699913    5.7699913 
     600     8000    433.48245   -1.2224861    381.61226 9.8683041e+08   0.23444768   -1.2224461         4.08    5.7699913    5.7699913 
     800     8000    435.62219   -1.2233278    381.99273 9.9219895e+08  0.074506304   -1.2232501         4.08    5.7699913    5.7699913 
    1000     8000    431.77621   -1.2234921     382.3732 9.9753673e+08   0.36719336   -1.2235042         4.08    5.7699913    5.7699913 
    1200     8000    432.65304   -1.2243218    382.75367 1.0027525e+09   0.13906291   -1.2239103         4.08    5.7699913    5.7699913 
    1400     8000    430.32926   -1.2247822    383.13414 1.0084134e+09   0.27737086   -1.2247689         4.08    5.7699913    5.7699913 
    1600     8000    426.00537   -1.2250628    383.51461 1.0137947e+09  -0.22635387   -1.2261165         4.08    5.7699913    5.7699913 
    1800     8000    423.11492   -1.2254341    383.89508 1.0191154e+09   0.20562472   -1.2246503         4.08    5.7699913    5.7699913 
    2000     8000    422.08175   -1.2261039    384.27555 1.0243756e+09   0.08562757   -1.2271353         4.08    5.7699913    5.7699913 
    2200     8000    416.37846   -1.2261498    384.65602 1.0294467e+09  0.022329945   -1.2255427         4.08    5.7699913    5.7699913 
    2400     8000     414.7236    -1.226781     385.0365 1.0348206e+09  -0.17962516   -1.2283141         4.08    5.7699913    5.7699913 
    2600     8000    411.19604   -1.2271201    385.41697 1.0402166e+09  0.050809106   -1.2283771         4.08    5.7699913    5.7699913 
    2800     8000    409.46545   -1.2277516    385.79744 1.0454862e+09 -0.068693174   -1.2279814         4.08    5.7699913    5.7699913 
    3000     8000    405.84195   -1.2280997    386.17791 1.0505056e+09  -0.10082173   -1.2282093         4.08    5.7699913    5.7699913 
    3200     8000    404.56373   -1.2288009    386.55838 1.0559441e+09  -0.11588711    -1.228791         4.08    5.7699913    5.7699913 
    3400     8000    401.46574   -1.2292766    386.93885 1.061215e+09  -0.19455983   -1.2294289         4.08    5.7699913    5.7699913 
    3600     8000    399.51337   -1.2298049    387.31932 1.0661563e+09  -0.13882795   -1.2284318         4.08    5.7699913    5.7699913 
    3800     8000     396.6463   -1.2301274    387.69979 1.0714476e+09 -0.024652691    -1.231024         4.08    5.7699913    5.7699913 
    4000     8000    394.91609   -1.2307208    388.08026 1.0765949e+09 -0.047322118   -1.2314072         4.08    5.7699913    5.7699913 
    4200     8000      391.938    -1.231198    388.46073 1.0816409e+09 -0.068881072   -1.2321126         4.08    5.7699913    5.7699913 
    4400     8000    387.22848   -1.2313096     388.8412 1.086607e+09  -0.06745458   -1.2310835         4.08    5.7699913    5.7699913 
    4600     8000    383.63154   -1.2316245    389.22167 1.0917539e+09  0.065066546   -1.2314306         4.08    5.7699913    5.7699913 
    4800     8000    380.05518   -1.2319239    389.60215 1.0968205e+09   0.13746482   -1.2312518         4.08    5.7699913    5.7699913 
    5000     8000    378.68024   -1.2325949    389.98262 1.1019462e+09  -0.13629362   -1.2320356         4.08    5.7699913    5.7699913 
    5200     8000    377.30866   -1.2330575    390.36309 1.1067183e+09  -0.15917414   -1.2329476         4.08    5.7699913    5.7699913 
    5400     8000    377.23112   -1.2338609    390.74356 1.1116881e+09  -0.38235815   -1.2357634         4.08    5.7699913    5.7699913 
    5600     8000    372.54171   -1.2339644    391.12403 1.1167746e+09  -0.21497402   -1.2334187         4.08    5.7699913    5.7699913 
    5800     8000    369.30584   -1.2342667     391.5045 1.1216096e+09 -0.058645467   -1.2351448         4.08    5.7699913    5.7699913 
    6000     8000    366.56069   -1.2346951    391.88497 1.1266188e+09  0.045267203    -1.235603         4.08    5.7699913    5.7699913 
    6200     8000    364.55441   -1.2351524    392.26544 1.1316469e+09 -0.052708934   -1.2348251         4.08    5.7699913    5.7699913 
    6400     8000    363.66127   -1.2357274    392.64591 1.1362959e+09  -0.19036083   -1.2361767         4.08    5.7699913    5.7699913 
    6600     8000    360.81509   -1.2361266    393.02638 1.1413439e+09 -0.0047659467   -1.2374555         4.08    5.7699913    5.7699913 
    6800     8000    359.49803   -1.2366823    393.40685 1.1462226e+09  0.035069256   -1.2366563         4.08    5.7699913    5.7699913 
    7000     8000    353.77391    -1.236662    393.78732 1.1519465e+09   0.26890643   -1.2353304         4.08    5.7699913    5.7699913 
    7200     8000    353.17586   -1.2373129     394.1678 1.1584371e+09   0.18314283   -1.2366862         4.08    5.7699913    5.7699913 
    7400     8000    351.52569   -1.2377795    394.54827 1.1645976e+09  -0.15027748   -1.2379073         4.08    5.7699913    5.7699913 
    7600     8000     349.3856   -1.2382028    394.92874 1.1709461e+09   0.10611914   -1.2385549         4.08    5.7699913    5.7699913 
    7800     8000    347.98023   -1.2385699    395.30921 1.1772502e+09   0.11389089    -1.239225         4.08    5.7699913    5.7699913 
    8000     8000    347.39653   -1.2391765    395.68968 1.183485e+09  -0.16104919   -1.2396948         4.08    5.7699913    5.7699913 
    8200     8000    343.17302   -1.2392331    396.07015 1.1899302e+09  0.080545116   -1.2400173         4.08    5.7699913    5.7699913 
    8400     8000    340.91126   -1.2395712    396.45062 1.1961546e+09 -0.040545273   -1.2401004         4.08    5.7699913    5.7699913 
    8600     8000    338.03774   -1.2397941    396.83109 1.2021111e+09  -0.11724512   -1.2400453         4.08    5.7699913    5.7699913 
    8800     8000    336.80271   -1.2401923    397.21156 1.2083786e+09   0.11988477    -1.240537         4.08    5.7699913    5.7699913 
    9000     8000    334.49369   -1.2405129    397.59203 1.2143807e+09  0.093369275   -1.2401643         4.08    5.7699913    5.7699913 
    9200     8000    333.56133   -1.2409613     397.9725 1.2202448e+09  0.065307432    -1.241725         4.08    5.7699913    5.7699913 
